Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
60000	39	87	0	0	2	0	0	1719729	0	0	0	279799	1	266459	14	1931851	5	86190	0	0	746753
60250	45	77	0	0	3	0	0	1712435	0	0	0	235678	10	268284	7	1925112	5	97892	0	0	744512
60500	50	94	0	0	4	0	0	1676826	0	0	0	232062	3	279873	7	2005466	5	104587	0	0	761547
60750	46	94	0	7	2	0	0	1699740	7	0	0	260472	0	351243	7	2045409	6	93551	0	0	764262
61000	34	82	0	0	0	0	0	1720482	0	0	0	252071	44	318840	0	2018012	5	95377	0	0	785851
61250	37	89	0	0	2	0	0	1655117	0	0	0	325136	1	278237	7	2088034	12	97819	0	0	776785
61500	48	94	0	0	4	0	0	1668600	0	0	7	325058	0	274827	0	2127607	6	139572	0	0	785883
61750	74	88	0	0	9	0	0	1690661	0	0	0	394282	1	279457	0	2068847	5	99074	0	0	783502
62000	36	82	0	0	9	0	0	1668794	0	0	0	413743	3	280058	0	1993885	5	110970	0	0	784753
62250	39	73	0	0	2	0	0	1649929	0	0	0	343253	2	284992	0	2005511	4	110952	0	0	813654
62500	44	79	0	0	1	0	0	1557586	0	0	0	256367	2	287052	0	2092377	10	105349	0	0	811187
62750	41	93	0	0	1	0	0	1554799	0	0	0	256307	2	287740	0	2156418	5	90923	0	0	808083
63000	36	114	0	0	1	0	0	1561764	1	0	0	267961	4	287459	0	2015012	5	107245	0	0	810225
63250	46	123	0	7	17	0	0	1572881	0	0	0	260354	1	304179	0	2022377	20	93561	0	0	795859
63500	38	90	0	0	3	0	0	1573324	1	0	0	266503	0	312572	0	2049567	12	93780	0	0	780189
63750	54	78	0	0	25	0	7	1577534	0	0	0	271645	2	302249	0	2072530	17	99898	0	0	800416
64000	45	69	0	0	8	0	0	1585555	0	0	0	328220	3	317798	7	2206292	11	102015	0	0	781652
64250	43	88	0	0	1	0	0	1589065	1	0	0	308285	2	311376	0	2254594	11	111012	0	0	792348
64500	52	79	0	18	1	0	7	1594175	0	0	0	320197	2	272532	0	2377104	15	131093	0	0	807978
64750	44	79	0	0	4	0	0	1597189	0	0	0	301876	1	260769	0	2150902	11	140756	0	0	812092
65000	48	88	0	0	1	0	0	1631457	1	0	0	302332	3	262229	0	2064003	17	122046	0	0	802928
65250	35	88	0	7	5	0	0	1691649	0	0	0	344642	0	265817	0	2022547	11	120909	0	0	795502
65500	39	76	0	7	3	0	0	1592494	0	0	0	369087	3	267187	0	1989556	11	123218	0	0	800731
65750	33	73	0	0	3	0	0	1563190	7	0	0	350427	4	268275	0	1998070	2920	119102	0	0	819171
66000	47	78	0	0	2	0	0	1500584	7	0	0	298793	0	270292	0	1994131	5	102115	0	0	824854
66250	38	80	0	0	3	0	0	1503587	16	0	0	297835	2	273540	0	1992330	4	94476	0	0	842052
66500	37	116	0	0	24	0	0	1547422	0	0	0	288114	1	274217	0	2001931	7	95108	0	0	858198
66750	31	90	0	0	11	0	0	1528490	0	0	0	286650	11	278485	0	2007959	5	105551	0	0	879943
67000	45	70	0	0	7	0	0	1548702	0	0	0	289394	25	279931	0	2002831	5	100459	0	0	865954
67250	50	74	0	0	13	0	0	1500508	0	0	0	291437	17	280450	0	2010748	6	117375	0	0	837115
67500	50	81	0	0	11	0	0	1506084	0	0	0	293052	27	282018	0	2014506	5	122162	0	0	838389
67750	68	77	0	0	2	0	0	1539297	0	0	0	294715	5	283333	0	2015285	5	130034	0	0	837806
68000	56	75	0	0	13	0	0	1532606	0	0	0	299683	10	287560	0	2028549	6	124338	0	0	845772
68250	46	72	0	0	12	0	0	1518630	0	0	0	310049	2	288249	0	2036430	5	112625	0	0	868051
68500	45	77	0	0	2	0	0	1567215	1	0	0	297672	34	290156	0	2039578	4	106605	0	0	857768
68750	39	90	0	0	5	0	0	1547615	1	34	0	299578	2	291970	0	2047314	10	107792	0	0	868729
69000	49	84	0	7	4	0	0	1568037	0	7	0	302492	4	293577	0	2056826	5	116273	0	0	869867
69250	69	85	0	0	7	0	0	1542618	0	0	0	302239	2	295429	0	2061877	5	109985	0	0	845252
69500	47	82	0	0	52	2	0	1545707	0	0	0	372980	4	296667	0	2110755	6	109241	0	0	883009
69750	44	79	0	0	54	0	0	1550080	0	0	0	336153	15	300952	0	2108376	5	114926	0	0	876902
70000	53	87	0	0	4	0	0	1546234	0	0	0	309306	5	303121	0	2108570	5	114339	0	0	868958
70250	76	109	0	7	4	0	0	1550503	0	0	0	311719	3	303182	0	2096175	6	105842	0	0	865123
70500	62	95	0	0	6	4	0	1554268	0	0	0	315367	5	306104	0	2104242	4	148403	0	0	859377
70750	44	100	0	0	2	11	0	1566965	0	0	0	313246	1	310288	0	2110166	5	116828	0	0	890187
71000	60	93	0	7	4	5	0	1566996	0	0	0	314889	1	310047	7	2119940	5	109483	0	0	878528
71250	63	90	0	7	4	0	0	1656541	1	7	0	319008	2	313517	0	2128997	6	111423	7	0	904988
71500	57	101	0	0	3	0	0	1671777	0	0	0	320165	2	314452	0	2131159	5	111214	7	0	906735
71750	56	97	0	0	2	0	7	1609163	0	7	0	322647	2	316827	0	2139323	5	112010	0	0	911220
72000	52	97	0	0	2	0	0	1612503	0	0	0	325055	1	318283	0	2146980	10	111525	0	0	873333
72250	54	90	0	0	2	0	0	1616257	1	0	0	323755	0	318495	0	2158555	5	116249	0	0	870422
72500	52	107	0	7	1	0	0	1602090	0	0	0	324381	1	322017	0	2160869	5	115014	0	0	873002
72750	56	106	0	14	3	0	0	1599152	0	0	0	324096	1	323772	0	2167633	6	114550	7	0	875549
73000	48	108	0	0	2	0	0	1662428	0	0	0	326819	28	324122	0	2181434	5	118522	7	0	889472
73250	50	104	0	0	1	0	0	1639301	0	0	0	412844	0	324826	0	2185901	5	117319	0	0	883726
73500	51	115	0	0	12	14	0	1625409	0	0	0	334479	3	328027	0	2190961	6	117156	0	0	914403
73750	52	101	0	0	1	7	0	1634247	0	0	0	356220	1	329342	0	2196460	5	118619	0	0	939082
74000	52	95	0	0	1	0	0	1732613	0	0	0	365598	3	331327	0	2205876	5	120365	0	0	957356
74250	53	118	0	1	1	0	0	1803934	53	7	0	336687	0	332188	0	2212078	6	121165	0	0	980298
74500	46	120	0	10	1	0	0	2027806	0	0	0	340794	0	335106	0	2219112	5	121028	0	0	1015869
74750	43	97	0	0	10	7	0	1966517	0	7	0	339392	3	336896	0	2226004	11	123044	7	0	1010294
75000	47	106	0	1	10	0	0	1954808	0	0	0	340454	0	340796	0	2233943	6	122481	0	0	1008231
75250	43	104	0	7	19	21	0	1930914	7	0	0	342087	1	355648	0	2241607	9	125613	0	0	1005112
75500	44	98	0	7	0	0	0	1894827	7	0	0	343776	4	343275	0	2252151	5	127433	0	0	980667
75750	50	86	12	0	4	7	0	1981355	0	0	0	350020	1	345689	0	2257631	6	126557	0	0	981097
76000	50	112	0	0	3	0	0	1938752	0	0	0	348100	2	345125	0	2264670	5	125953	0	0	991095
76250	54	100	0	0	2	14	0	1906774	0	0	0	348901	6	345915	0	2274563	5	128130	7	0	1010962
76500	59	106	0	0	2	0	0	1927668	1	0	0	350554	2	348871	0	2338252	6	129541	0	0	991773
76750	45	96	0	1	0	0	0	1916886	1	0	0	355771	1	350007	0	2300161	5	129451	0	0	997201
77000	57	120	0	0	24	0	0	1925718	1	0	0	352948	2	352031	0	2296378	4	130116	0	0	996652
77250	52	92	0	0	1	0	0	1924607	0	0	0	353493	28	353460	0	2302603	6	131141	7	0	1006408
77500	70	100	0	0	2	0	0	1927402	0	0	0	360676	1	354389	0	2308163	5	131537	7	0	1025024
77750	90	148	0	0	1	0	0	1972440	0	0	0	372087	4	356081	0	2324033	5	134079	0	0	1006292
78000	63	110	0	11	2	0	0	1938793	0	9	0	384413	1	357810	0	2335729	13	133234	0	0	1007908
78250	56	118	0	0	0	0	0	1946067	0	0	0	404219	4	358286	0	2340906	5	133293	0	0	1010862
78500	50	123	0	0	0	0	0	1989677	0	0	0	381442	2	362976	7	2352404	43	135694	7	0	1014665
78750	54	130	0	0	1	14	0	2038879	0	0	0	393884	3	365757	21	2356107	6	138129	0	0	1020703
79000	40	100	0	0	3	0	0	2074700	2	0	0	428596	3	365980	2	2363201	4	139945	0	0	1023025
79250	63	111	0	0	1	0	0	2057868	0	0	0	441070	3	367752	11	2367266	5	139829	0	0	1026549
79500	47	106	0	0	3	0	0	2017359	0	0	0	459005	2	368910	7	2382534	6	140287	0	0	1028936
79750	55	138	0	0	2	0	0	1990407	0	0	0	515493	0	371435	7	2385050	5	139400	0	0	1032966
80000	52	102	0	0	1	0	0	2046547	7	0	0	494917	1	373393	0	2392698	5	143297	0	0	1050200
80250	49	93	0	0	1	0	0	2112339	8	0	0	483322	2	372568	7	2401340	6	141347	0	0	1056668
80500	62	109	0	0	0	0	0	2104019	0	0	0	482591	1	379868	0	2403726	19	142011	0	0	1043966
80750	55	99	0	0	1	0	0	2092041	1	0	0	474466	1	377845	0	2410113	5	144321	0	0	1043329
81000	56	115	0	0	1	0	0	2093543	0	0	0	482978	1	377444	0	2421077	6	145620	0	0	1048849
81250	42	107	0	0	2	0	0	2109653	0	0	0	477240	2	381078	7	2426920	5	147478	0	0	1062491
81500	55	92	0	0	2	0	0	2102296	0	0	0	435160	1	382490	14	2441887	5	146427	0	0	1054975
81750	65	93	0	0	1	0	0	2115218	0	0	0	429640	4	387087	7	2443040	10	147294	0	0	1058588
82000	47	112	0	0	3	0	0	2100789	7	0	0	432106	2	424935	14	2452972	6	244212	0	0	1061869
82250	54	103	0	0	1	0	0	2117127	0	0	0	432834	2	426011	7	2459519	5	182208	0	0	1063828
82500	50	108	0	0	2	0	0	2151139	0	0	0	431225	6	426103	7	2462826	5	173022	0	0	1066690
82750	70	118	0	0	2	0	0	2145889	0	0	0	427883	4	428761	0	2471525	6	179362	0	0	1070007
83000	48	112	0	0	1	0	0	2266558	0	0	0	428679	2	430322	0	2480768	5	186047	0	0	1074616
83250	53	96	0	0	0	0	0	2237288	1	0	0	429674	2	432870	0	2487853	4	179045	0	0	1075400
83500	62	123	0	0	0	0	0	2258947	0	0	0	427598	2	447009	0	2494962	13	158415	0	0	1080038
83750	59	111	0	0	1	0	0	2239378	0	0	0	430210	2	420615	0	2501574	5	158496	0	0	1081544
84000	68	99	0	0	3	0	0	2178857	0	0	0	432848	3	397839	0	2515236	12	183835	0	0	1087885
84250	49	95	0	0	1	0	0	2178065	0	0	0	433580	2	399530	0	2519747	6	193792	0	0	1093562
84500	65	106	0	0	2	0	0	2176087	0	0	0	433555	1	401166	0	2522436	5	173651	0	0	1091498
84750	56	130	0	0	4	0	0	2190486	0	0	0	435659	1	403357	0	2533314	9	175056	0	0	1098645
85000	64	112	0	0	0	0	0	2189610	1	0	0	439199	11	402994	21	2542528	7	169926	0	0	1099439
85250	58	95	0	0	3	0	0	2245527	2	0	0	441105	11	405514	7	2547108	5	178264	0	0	1101876
85500	61	116	0	0	3	0	0	2304168	0	0	0	458653	14	407714	0	2560764	4	170751	0	0	1108131
85750	78	102	0	0	1	0	7	2221495	0	0	0	446588	0	409855	0	2559935	6	194786	0	0	1108766
86000	53	108	0	0	1	0	0	2220572	0	0	0	466350	1	411902	0	2569112	5	207593	0	0	1125155
86250	61	119	0	0	2	0	0	2226135	0	0	0	462550	3	412946	0	2575014	5	173456	0	0	1133513
86500	57	97	0	0	1	0	0	2229570	0	0	0	460813	2	413663	0	2583283	6	184265	0	0	1122401
86750	54	114	0	0	2	0	0	2235974	0	0	0	465594	2	415597	0	2588311	5	185259	0	0	1124484
87000	43	103	0	0	0	0	0	2241355	0	0	0	449212	5	415870	0	2598779	5	179831	0	0	1124580
87250	100	111	0	0	3	0	0	2223975	1	10	0	449839	4	421366	0	2603026	6	169730	0	0	1126881
87500	150	108	0	0	1	0	0	2096349	1	0	0	450738	9	426965	0	2612125	4	233271	0	0	1130673
